index,close_time,predictions_XRPUSDT,actual_XRPUSDT,predictions_ATOMUSDT,actual_ATOMUSDT,log_actual_price_XRPUSDT,log_prediction_XRPUSDT,log_actual_price_ATOMUSDT,log_prediction_ATOMUSDT,predicted_spread,actual_spread,actual_spread_rolling_mean_2520_minutes,actual_spread_rolling_sd_2520_minutes,predicted_spread_rolling_mean_2520_minutes,predicted_spread_rolling_sd_2520_minutes,predicted_rolling_z_score_2520_minutes,actual_rolling_z_score_2520_minutes,actual_rolling_z_score_2520_minutes_lag_1,predicted_spread_rolling_sd_2520_minutes_percentile_75th,historical_spread,historical_XRPUSDT_mid,historical_XRPUSDT_vol,historical_ATOMUSDT_mid,historical_ATOMUSDT_vol,signal_2520_minutes,threshold_2520_minutes,delayed_signal_2520_minutes
0,2023-01-20 16:58:59.999,0.3959856140258727,0.3965,12.45505348422863,12.4705,-0.9250792379072343,-0.9263773966050354,2.5233658551190667,2.5221264429023247,0.030096192964749746,0.030721497046547697,0.03256054409661946,0.007779752244130652,0.03255956656741205,0.0077783638928868165,-0.31669559776124906,-0.2363888967620031,0.0,0.0077783638928868165,0.0307214970465476,0.3964999999999999,330335.0,12.4705,3482.93,0,2.0,0
1,2023-01-20 16:59:59.999,0.3961292707089846,0.3966,12.43575757584975,12.4635,-0.9248270628964415,-0.9260146798136826,2.5228043727910086,2.5205759982665334,0.03130061828209363,0.03127849072149025,0.03256191019217825,0.00777922473206451,0.03256140987805287,0.007777722245615642,-0.1621029340138704,-0.16498038235069726,-0.2363888967620031,0.007778203481069023,0.0312784907214904,0.3966,367451.0,12.4635,6420.61,0,2.0,0
2,2023-01-20 17:00:59.999,0.3959614453582926,0.3972,12.426700583116226,12.482,-0.9233153468111195,-0.9264384326738009,2.524287606511851,2.5198474304735785,0.03127239178192176,0.031984985878537264,0.032563852185259014,0.0077784695875872485,0.03256333990425809,0.007776969218116331,-0.1659963008891799,-0.07441904865778413,-0.16498038235069726,0.00777804306925123,0.0319849858785374,0.3972,800336.0,12.482,1275.41,0,2.0,0
3,2023-01-20 17:01:59.999,0.3964428693419942,0.3974,12.449432427914282,12.484,-0.9228119488644206,-0.9252233356986732,2.524447824408533,2.521675033752212,0.0314953157853457,0.03240140440878969,0.032566040220994734,0.007777648034816153,0.03256561549888619,0.00777613453903857,-0.13763904265895296,-0.02116781467457266,-0.07441904865778413,0.007777882657433436,0.0324014044087896,0.3974,325232.0,12.484,1508.66,0,2.0,0
4,2023-01-20 17:02:59.999,0.3963991221317621,0.3969,12.455357940999328,12.486,-0.9240709191931175,-0.9253336911307692,2.5246080166395526,2.522150887040602,0.03112662815568945,0.03105546859707331,0.032568238649910555,0.007776437678376666,0.03256766680917504,0.007774948187206421,-0.18534382722405812,-0.19453252445444097,-0.02116781467457266,0.007777722245615642,0.0310554685970734,0.3969,390580.0,12.486,1779.42,0,2.0,0
5,2023-01-20 17:03:59.999,0.3955656263309056,0.39699998,12.458114745387782,12.4905,-0.9238190486727818,-0.927438572971053,2.5249683553618465,2.522372197368103,0.028901600916307224,0.031111717701591823,0.0325712108120692,0.007774448877817494,0.03256975519529182,0.007773250243763312,-0.47189453111041396,-0.18772946268148813,-0.19453252445444097,0.007777533988740815,0.0311117680794268,0.397,207685.0,12.4905,1167.66,0,2.0,0
6,2023-01-20 17:04:59.999,0.3956774242023897,0.39725,12.461109232738218,12.503,-0.9231894735653117,-0.927155985030084,2.5259686155128627,2.52261253289119,0.029053715021441717,0.031198269551162783,0.032574416963790515,0.00777221572320838,0.032573020414031546,0.007770990315024508,-0.4528773360823227,-0.177059858042599,-0.18772946268148813,0.007777345731865987,0.0311982695511625,0.39725,202179.0,12.503,5433.24,0,2.0,0
7,2023-01-20 17:05:59.999,0.3960028338583249,0.39735,12.472371483499703,12.5105,-0.9229377745959487,-0.9263339115453708,2.5265682917056993,2.52351591671117,0.029385357667177203,0.031124415093661928,0.032577268290237715,0.007770365017368355,0.03257600216147014,0.007769083731238593,-0.4106847866066528,-0.18697360977616412,-0.177059858042599,0.007777157474991159,0.0311244150936618,0.39735,440693.0,12.5105,2637.6,0,2.0,0
8,2023-01-20 17:06:59.999,0.3960921578391871,0.3977,12.48215941096079,12.5385,-0.9220573267684922,-0.9261083729870486,2.5288039108251836,2.5243003776977875,0.029185026455304963,0.03079118548285331,0.03258014715478668,0.007768358579801758,0.03257880041908676,0.007767111925362913,-0.43694155516153815,-0.23028824603755887,-0.18697360977616412,0.007776969218116331,0.0307911854828537,0.3977,360435.0,12.5385,10208.36,0,2.0,0
9,2023-01-20 17:07:59.999,0.3966564511745697,0.3977,12.513207774649276,12.569,-0.9220573267684922,-0.9246847352177155,2.5312334649427006,2.5267847084481123,0.029259965712186253,0.02947222421982998,0.03258296981868685,0.007765936124244056,0.03258165168933084,0.007764677671667091,-0.427794445256272,-0.40056286184811685,-0.23028824603755887,0.007776760548346891,0.0294722242198304,0.3977,368463.0,12.569,6863.26,0,2.0,0
