index,close_time,historical_spread,historical_NEARUSDT_mid,historical_NEARUSDT_vol,historical_LUNCUSDT_mid,historical_LUNCUSDT_vol,historical_rolling_mean_360_minutes,historical_rolling_sd_360_minutes,historical_rolling_z_score_360_minutes,historical_rolling_z_score_360_minutes_lag_1,rolling_sd_360_minutes,algo_trading_rolling_sd_360_minutes_percentile_75th,signal_360_minutes,threshold_360_minutes,delayed_signal_360_minutes
0,2023-01-20 14:11:59.999,0.0993010764227086,2.085,2769.7,0.0001706349999999,9148941.21,0.10072816390086495,0.006590192891341037,-0.21654714841980044,0.0,,0.0009038521242790766,0,2.0,0.0
1,2023-01-20 14:12:59.999,0.0980228364901734,2.085,2497.4,0.00017072,45550036.97,0.10074042579702432,0.006581034844789866,-0.412942549453662,-0.21654714841980044,0.0009038521242790766,0.0009038521242790766,0,2.0,0.0
2,2023-01-20 14:13:59.999,0.0980693621278305,2.084,4350.6,0.000170685,6779563.05,0.10075499851411358,0.006569285112086903,-0.408817145314906,-0.412942549453662,0.0007249347170945869,0.0008591227724829543,0,2.0,0.0
3,2023-01-20 14:14:59.999,0.0972741471180107,2.0825,10864.3,0.0001706899999999,25961681.32,0.10076405958798193,0.0065622242552433735,-0.5318185319836797,-0.408817145314906,0.0008393711514366576,0.0008716116378578671,0,2.0,0.0
4,2023-01-20 14:15:59.999,0.0962969271799991,2.0825,1741.2,0.000170755,9474440.65,0.1007691056009884,0.006558087593832382,-0.681933316230054,-0.5318185319836797,0.0011080317511093498,0.0009548970309866449,0,2.5,0.0
5,2023-01-20 14:16:59.999,0.094913437445431,2.084,1299.1,0.000170895,8511626.35,0.10076921745610967,0.006557987374092677,-0.8929233431909193,-0.681933316230054,0.0015375443630298367,0.0011080317511093498,0,2.5,0.0
6,2023-01-20 14:17:59.999,0.0941625984112342,2.084,3040.3,0.0001709449999999,18895221.72,0.10076468718099613,0.006561985146106026,-1.0061115078384015,-0.8929233431909193,0.0018406153926223514,0.0014301662100497151,0,2.5,0.0
7,2023-01-20 14:18:59.999,0.0967624736723919,2.083,7777.2,0.00017074,159644302.08,0.10077432960421788,0.006553541220686071,-0.6121661246537481,-1.0061115078384015,0.0017044486769632254,0.001620996519996531,0,2.5,0.0
8,2023-01-20 14:19:59.999,0.0976962192371679,2.0815,1379.6,0.00017063,19267136.09,0.10078832930488867,0.006541556719105776,-0.47268719060246206,-0.6121661246537481,0.0016191047421849978,0.0016404407258795548,0,2.0,0.0
9,2023-01-20 14:20:59.999,0.0961481319499384,2.08,6707.4,0.000170685,17470432.47,0.10078985433128648,0.0065404106814994966,-0.7096989176043434,-0.47268719060246206,0.001547131997007394,0.0016191047421849978,0,2.0,0.0
10,2023-01-20 14:21:59.999,0.0972741471180107,2.0825,4919.2,0.00017069,9828629.52,0.10078600024356762,0.0065420722465818195,-0.5368105079230571,-0.7096989176043434,0.0014729204805308475,0.001601111555890597,0,2.0,0.0
11,2023-01-20 14:22:59.999,0.0980085250789954,2.0845,3723.0,0.000170705,37186305.27,0.10078537143725208,0.006542328295713266,-0.4244431390085008,-0.5368105079230571,0.0014402471561284396,0.0015831183695961958,0,2.0,0.0
12,2023-01-20 14:23:59.999,0.0975603717521771,2.082,1881.4,0.000170655,14238690.57,0.1007861592118002,0.006541922832854011,-0.4930946973912561,-0.4244431390085008,0.001387845104326011,0.0015651251833017949,0,2.0,0.0
13,2023-01-20 14:24:59.999,0.0966581243973614,2.082,8090.4,0.000170715,27084192.23,0.10078394663540177,0.006543183801665073,-0.6305527038672596,-0.4930946973912561,0.0013372521519457836,0.001547131997007394,0,2.0,0.0
14,2023-01-20 14:25:59.999,0.0941625984112342,2.084,2115.6,0.0001709449999999,48140819.05,0.10077018521930058,0.006551879697888743,-1.008502462307967,-0.6305527038672596,0.0014836616650904686,0.0015447350885130046,0,2.0,0.0
15,2023-01-20 14:26:59.999,0.0933525949490494,2.082,4386.9,0.000170935,9335657.42,0.10074705901640832,0.0065633176439810065,-1.1266351056679578,-1.008502462307967,0.0016751865949813291,0.0015831183695961958,0,2.5,0.0
