index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:33:59.999,,,0.0,0.0,,,84.36500000000001,0.0001696949999999,778.448,67970053.93,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 14:34:59.999,,,0.0,0.0,,,84.39500000000001,0.000169745,234.368,53366552.28,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 14:35:59.999,,,0.0,0.0,,,84.46000000000001,0.000169945,86.941,356334435.35,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 14:36:59.999,,,0.0,0.0,,,84.47,0.000169935,81.771,50985868.67,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 14:37:59.999,,,0.0,0.0,,,84.49,0.000169945,179.114,40989281.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 14:38:59.999,,,0.0,0.0,,,84.47,0.00017004,1230.573,156258183.42,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 14:39:59.999,,,0.0,0.0,,,84.51,0.0001702249999999,347.552,27022409.78,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 14:40:59.999,,,0.0,0.0,,,84.535,0.00017016,115.366,36257646.97,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 14:41:59.999,,,0.0,0.0,,,84.595,0.000170625,691.661,25773571.28,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 14:42:59.999,,,0.0,0.0,,,84.64,0.00017123,1034.013,114361871.51,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 14:43:59.999,,,0.0,0.0,,,84.625,0.0001716,179.147,39785861.64,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 14:44:59.999,,,0.0,0.0,,,84.595,0.000172005,106.257,435175234.97,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 14:45:59.999,,,0.0,0.0,,,84.535,0.000171745,234.224,143548158.48,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 14:46:59.999,,,0.0,0.0,,,84.425,0.000171425,603.862,479707585.13,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 14:47:59.999,,,0.0,0.0,,,84.41499999999999,0.000171345,116.13,79658066.12,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
