index,close_time,transaction_id,positions,XRPUSDT_units,LTCUSDT_units,entry_XRPUSDT_price,entry_LTCUSDT_price,historical_XRPUSDT_mid,historical_LTCUSDT_mid,historical_XRPUSDT_vol,historical_LTCUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,LTCUSDT_raw_pnl,XRPUSDT_cost,LTCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 16:58:59.999,,,0.0,0.0,,,0.3964999999999999,86.07,330335.0,457.795,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 16:59:59.999,,,0.0,0.0,,,0.3966,86.15,367451.0,460.176,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 17:00:59.999,,,0.0,0.0,,,0.3972,86.39,800336.0,2308.643,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 17:01:59.999,,,0.0,0.0,,,0.3974,86.38999999999999,325232.0,349.018,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 17:02:59.999,,,0.0,0.0,,,0.3969,86.37,390580.0,355.103,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 17:03:59.999,,,0.0,0.0,,,0.397,86.41,207685.0,249.329,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 17:04:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.39725,86.425,202179.0,305.552,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
7.0,2023-01-20 17:05:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.39735,86.41,440693.0,1113.619,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 17:06:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.3977,86.555,360435.0,1662.993,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 17:07:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.3977,86.425,368463.0,352.634,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 17:08:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.3981,86.32499999999999,702715.0,2328.667,2.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 17:09:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.39825,86.32,223741.0,257.801,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 17:10:59.999,1.0,long,1258.6532410320958,-4.370493765322649,0.39725,86.425,0.39805,86.21000000000001,296691.0,1058.485,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 17:11:59.999,1.0,,0.0,0.0,,,0.398,86.225,176159.0,558.663,4.0,10000.940333814582,0.9439899307741076,0.8740987530645423,-0.5004719949653871,-0.3772828742914777,7,1,0,9.403338145830276e-05,9.403338145830276e-05
14.0,2023-01-20 17:12:59.999,1.0,,0.0,0.0,,,0.39805,86.28999999999999,113913.0,443.148,3.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
15.0,2023-01-20 17:13:59.999,1.0,,0.0,0.0,,,0.3978,86.28,358643.0,560.905,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
16.0,2023-01-20 17:14:59.999,1.0,,0.0,0.0,,,0.39735,86.22,269248.0,952.016,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
17.0,2023-01-20 17:15:59.999,1.0,,0.0,0.0,,,0.39735,86.22,282948.0,145.955,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
18.0,2023-01-20 17:16:59.999,1.0,,0.0,0.0,,,0.3977,86.34,400452.0,324.57,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
19.0,2023-01-20 17:17:59.999,1.0,,0.0,0.0,,,0.39715,86.33000000000001,559916.0,212.223,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
20.0,2023-01-20 17:18:59.999,1.0,,0.0,0.0,,,0.3967,86.32,405359.0,600.257,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
21.0,2023-01-20 17:19:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3962,86.385,327483.0,220.607,2.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,1,0.0,9.403338145830276e-05
22.0,2023-01-20 17:20:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39635,86.45,274113.0,438.275,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
23.0,2023-01-20 17:21:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3967,86.44999999999999,253891.0,70.592,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
24.0,2023-01-20 17:22:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39685,86.47,277957.0,196.056,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
25.0,2023-01-20 17:23:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3964,86.41999999999999,179805.0,271.434,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
26.0,2023-01-20 17:24:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3963,86.38,133098.0,335.057,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
27.0,2023-01-20 17:25:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39605,86.36,181307.0,58.384,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
28.0,2023-01-20 17:26:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39585,86.375,418128.0,448.826,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
29.0,2023-01-20 17:27:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.396,86.465,833412.0,137.065,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
30.0,2023-01-20 17:28:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39605,86.39500000000001,195582.0,2738.284,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
31.0,2023-01-20 17:29:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39585,86.29499999999999,270775.0,376.227,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
32.0,2023-01-20 17:30:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3955999999999999,86.275,136862.0,137.145,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
33.0,2023-01-20 17:31:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.396,86.36,432627.0,108.324,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
34.0,2023-01-20 17:32:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39605,86.38,110072.0,43.195,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
35.0,2023-01-20 17:33:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3959,86.37,279793.0,174.83,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
36.0,2023-01-20 17:34:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39585,86.38,160445.0,27.97,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
37.0,2023-01-20 17:35:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3958,86.41,193652.0,780.954,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
38.0,2023-01-20 17:36:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.39525,86.345,564120.0,1072.565,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
39.0,2023-01-20 17:37:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3951,86.33000000000001,227482.0,762.692,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
40.0,2023-01-20 17:38:59.999,2.0,long,1261.9888944977286,-4.372517493407535,0.3962,86.385,0.3951,86.35,284382.0,473.788,0.0,10000.940333814582,0.0,0.0,0.0,0.0,0,0,0,0.0,9.403338145830276e-05
