index,close_time,predictions_ETHUSDT,actual_ETHUSDT,predictions_DOTUSDT,actual_DOTUSDT,log_actual_price_ETHUSDT,log_prediction_ETHUSDT,log_actual_price_DOTUSDT,log_prediction_DOTUSDT,predicted_spread,actual_spread,actual_spread_rolling_mean_7200_minutes,actual_spread_rolling_sd_7200_minutes,predicted_spread_rolling_mean_7200_minutes,predicted_spread_rolling_sd_7200_minutes,predicted_rolling_z_score_7200_minutes,actual_rolling_z_score_7200_minutes,actual_rolling_z_score_7200_minutes_lag_1,predicted_spread_rolling_sd_7200_minutes_percentile_75th,historical_spread,historical_ETHUSDT_mid,historical_ETHUSDT_vol,historical_DOTUSDT_mid,historical_DOTUSDT_vol,signal_7200_minutes,threshold_7200_minutes,delayed_signal_7200_minutes
0,2023-01-20 16:43:59.999,1584.4533264203806,1585.085,5.819661039278581,5.8905,7.368393312633716,7.3679947223515185,1.773340883704037,1.7612420193735092,0.03258355984051953,0.022519566803146596,0.007467723016744652,0.009855251458731529,0.007471210842994308,0.009859010141922918,2.547147090430649,1.527291703253939,0.0,0.009859010141922918,0.0225195668031465,1585.085,1021.493,5.890499999999999,7032.71,1,2.0,0
1,2023-01-20 16:44:59.999,1587.127007712275,1585.005,5.828936360604963,5.891,7.368342840880538,7.36968074738862,1.7734257625395502,1.7628345412829294,0.03289243965883326,0.022395695442834374,0.007473053706179691,0.009852944162504741,0.007476583686175894,0.009856812091191512,2.578506695422358,1.5145363142767634,1.527291703253939,0.009858460629240066,0.0223956954428343,1585.005,1512.4681,5.891,6993.15,1,2.0,1
2,2023-01-20 16:45:59.999,1587.3534973423425,1584.84,5.831658840834212,5.889,7.368238734843713,7.369823441369629,1.7730862039624338,1.7633014951959476,0.03263133175498023,0.022585225222388594,0.007478453390385569,0.009850571251251617,0.007481946360579236,0.00985434548769299,2.5521111905209586,1.5335934786607988,1.5145363142767634,0.009857911116557216,0.0225852252223894,1584.84,845.033,5.888999999999999,15760.29,1,2.0,1
3,2023-01-20 16:46:59.999,1587.060404405806,1583.305,5.82478761636953,5.8785,7.367269713463623,7.369638781809509,1.7713016273256588,1.762122538077963,0.033466184170540814,0.023159429821393296,0.0074838228560551055,0.009848580492167176,0.007487431016215428,0.009852654648370054,2.636726251094481,1.591661557501144,1.5335934786607988,0.009857361603874364,0.0231594298213932,1583.3049999999998,768.089,5.8785,7403.2,1,2.0,1
4,2023-01-20 16:47:59.999,1585.5425080135626,1585.985,5.807428093184871,5.89,7.368960944394709,7.368681904097445,1.7732559976634952,1.7591378038698662,0.035090377663664185,0.023160604401875062,0.007489056137844767,0.009846898203928893,0.007492889122364392,0.009851584643768499,2.8013248161813493,1.5915213034067295,1.591661557501144,0.009856812091191512,0.0231606044018759,1585.985,631.1147,5.89,8623.32,1,2.0,1
5,2023-01-20 16:48:59.999,1587.2160520463558,1586.9,5.815899757703527,5.8895,7.369537706568797,7.369736849915932,1.7731711044167022,1.7605955044746242,0.03488476599380963,0.023810778645358077,0.007494380794020303,0.009845357122586945,0.007498184485896401,0.009849962751789164,2.780374118972042,1.6572682583453624,1.5915213034067295,0.009856195440316882,0.023810778645358,1586.9,916.3916,5.8895,8877.31,1,2.0,1
6,2023-01-20 16:49:59.999,1587.505722046393,1588.245,5.816444968599771,5.89,7.370384912022688,7.3699193351990235,1.7732559976634952,1.760689244973117,0.03498618848050139,0.024584572029854534,0.0074997542211147185,0.009844125304764495,0.0075035712512854435,0.009848768836048849,2.790462207684578,1.7355343699730104,1.6572682583453624,0.009855578789442251,0.0245845720298545,1588.245,577.2642,5.89,2921.75,1,2.0,1
7,2023-01-20 16:50:59.999,1588.2172289824312,1586.17,5.820626568459057,5.89,7.369077584344654,7.370367426521167,1.7732559976634952,1.7614079137594947,0.034812805600501484,0.02327724435182077,0.007504979092981417,0.00984251449508062,0.007508771319964825,0.009847090010559884,2.772802345795173,1.6024629952765095,1.7355343699730104,0.009854962138567621,0.0232772443518207,1586.17,344.1892,5.89,6501.61,1,2.0,1
8,2023-01-20 16:51:59.999,1586.5137902378726,1587.375,5.822886939150302,5.891,7.369836987509197,7.369294303224914,1.7734257625395502,1.761796176412029,0.03340392927478675,0.023889842071493916,0.0075101706557270925,0.009841297373368429,0.007513766511666415,0.009845343143244596,2.6296861761374895,1.6643813101402576,1.6024629952765095,0.00985434548769299,0.0238898420714939,1587.375,572.308,5.891,5837.18,1,2.0,1
9,2023-01-20 16:52:59.999,1587.3703880944154,1590.25,5.825249657171919,5.89,7.371646515558914,7.369834082138832,1.7732559976634952,1.7622018581336474,0.03359289188911596,0.025846175566080376,0.007515671126211653,0.009840476603272334,0.0075192924594657705,0.009844590064455275,2.6485205842944266,1.862765918652063,1.6643813101402576,0.009853922777862257,0.0258461755660803,1590.25,1540.5741,5.89,6497.07,1,2.0,1
