index,close_time,historical_spread,historical_LTCUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_mid,historical_ATOMUSDT_vol,historical_rolling_mean_2520_minutes,historical_rolling_sd_2520_minutes,historical_rolling_z_score_2520_minutes,historical_rolling_z_score_2520_minutes_lag_1,rolling_sd_2520_minutes,algo_trading_rolling_sd_2520_minutes_percentile_75th,signal_2520_minutes,threshold_2520_minutes,delayed_signal_2520_minutes
0,2023-01-20 14:33:59.999,-0.0183762380820429,84.36500000000001,778.448,12.2285,5451.4,-0.009120053547722183,0.007674287453880163,-1.206129505826725,0.0,,5.145898254170468e-05,0,2.0,0.0
1,2023-01-20 14:34:59.999,-0.0184490120730593,84.39500000000001,234.368,12.236,777.53,-0.009129438899972576,0.0076712278792138355,-1.2148737229328421,-1.206129505826725,5.145898254170468e-05,5.145898254170468e-05,0,2.0,0.0
2,2023-01-20 14:35:59.999,-0.0181071667404606,84.46000000000001,86.941,12.2435,1484.19,-0.009138782997981432,0.00766781590402293,-1.1696138580705744,-1.2148737229328421,0.00018007113041280324,0.0001479180934450286,0,2.5,0.0
3,2023-01-20 14:36:59.999,-0.0185305898896244,84.47,81.771,12.253,617.59,-0.009148485581481508,0.007664223578422963,-1.2241428257072595,-1.1696138580705744,0.00018355749688582225,0.00018181431364931274,0,2.5,0.0
4,2023-01-20 14:37:59.999,-0.0178946558257813,84.49,179.114,12.246,635.87,-0.009157758193099287,0.007660663405757058,-1.1404883846112015,-1.2241428257072595,0.0002639247617041501,0.00020364931309040422,0,2.5,0.0
5,2023-01-20 14:38:59.999,-0.017503635847758,84.47,1230.573,12.235,485.41,-0.009166723861536491,0.007657203829486835,-1.0887671494543754,-1.1404883846112015,0.0003924316173645731,0.0002639247617041501,0,2.5,0.0
6,2023-01-20 14:39:59.999,-0.0179431295943137,84.51,347.552,12.251,491.64,-0.00917631602354264,0.007653050618325827,-1.1455318941414345,-1.0887671494543754,0.00036616089090030283,0.00034060185860126463,0,2.5,0.0
7,2023-01-20 14:40:59.999,-0.01835974190067,84.535,115.366,12.2635,422.08,-0.009186072553486652,0.00764907882211946,-1.1993168799169784,-1.1455318941414345,0.0003498752965676351,0.000358018093733969,0,2.0,0.0
8,2023-01-20 14:41:59.999,-0.0191581001310616,84.595,691.661,12.29,884.38,-0.009196108596801478,0.007645563788851046,-1.3029767077199657,-1.1993168799169784,0.00047014373651786017,0.00037272857251637037,0,2.5,0.0
9,2023-01-20 14:42:59.999,-0.0203010498179261,84.64,1034.013,12.3195,3631.39,-0.009206456585672566,0.007642939381101574,-1.4516134014730957,-1.3029767077199657,0.0007834977138201513,0.0003924316173645731,0,2.5,0.0
10,2023-01-20 14:43:59.999,-0.0209884304630372,84.625,179.147,12.3285,622.34,-0.009216816277997872,0.007641209052335094,-1.5405434014977009,-1.4516134014730957,0.0010642314043894329,0.0004507157067295384,0,2.5,0.0
11,2023-01-20 14:44:59.999,-0.0210312882314318,84.595,106.257,12.323,656.32,-0.00922720449889338,0.007639468857131652,-1.5451445582527619,-1.5405434014977009,0.0012188753805473108,0.0006268207251690057,0,2.5,0.0
12,2023-01-20 14:45:59.999,-0.0218541669301526,84.535,234.224,12.325,483.55,-0.009237728430450873,0.007638589290011908,-1.6516712734115409,-1.5451445582527619,0.001427979653803617,0.0008536811364624717,0,2.5,0.0
13,2023-01-20 14:46:59.999,-0.0217094632516507,84.425,603.862,12.2995,972.52,-0.009248503129796783,0.007637023725606239,-1.631651356545281,-1.6516712734115409,0.001537208509295033,0.0010642314043894329,0,2.5,0.0
14,2023-01-20 14:47:59.999,-0.0211744642629021,84.41499999999999,116.13,12.288,1156.39,-0.009258637537803876,0.007635897727353185,-1.5605010897950544,-1.631651356545281,0.0015583149941768262,0.0011802143865078413,0,2.5,0.0
15,2023-01-20 14:48:59.999,-0.0208475640942644,84.445,330.271,12.2885,770.73,-0.009268427849768003,0.007634933800627805,-1.516599429263456,-1.5605010897950544,0.0015468884108815993,0.0013234275171754638,0,2.5,0.0
