index,close_time,transaction_id,positions,DOTUSDT_units,JASMYUSDT_units,entry_DOTUSDT_price,entry_JASMYUSDT_price,historical_DOTUSDT_mid,historical_JASMYUSDT_mid,historical_DOTUSDT_vol,historical_JASMYUSDT_vol,signal,portfolio_value,DOTUSDT_raw_pnl,JASMYUSDT_raw_pnl,DOTUSDT_cost,JASMYUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
0.0,2023-01-20 14:57:59.999,,,0.0,0.0,,,5.8685,0.0046015,6255.55,477228.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,,
1.0,2023-01-20 14:58:59.999,,,0.0,0.0,,,5.863,0.004599,7775.76,474194.9,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2.0,2023-01-20 14:59:59.999,,,0.0,0.0,,,5.866,0.0046,5663.65,362044.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3.0,2023-01-20 15:00:59.999,,,0.0,0.0,,,5.872,0.0045985,10924.71,512211.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4.0,2023-01-20 15:01:59.999,,,0.0,0.0,,,5.867,0.004595,14443.56,284575.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5.0,2023-01-20 15:02:59.999,,,0.0,0.0,,,5.864,0.0045959999999999,4004.38,397986.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6.0,2023-01-20 15:03:59.999,,,0.0,0.0,,,5.885,0.0046085,22231.32,1281522.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7.0,2023-01-20 15:04:59.999,,,0.0,0.0,,,5.8935,0.0046165,7813.56,666508.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8.0,2023-01-20 15:05:59.999,,,0.0,0.0,,,5.9025,0.0046235,26585.58,1640057.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9.0,2023-01-20 15:06:59.999,,,0.0,0.0,,,5.906000000000001,0.0046245,3146.02,1682224.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10.0,2023-01-20 15:07:59.999,,,0.0,0.0,,,5.904999999999999,0.004624,10802.26,778956.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11.0,2023-01-20 15:08:59.999,,,0.0,0.0,,,5.901,0.004624,11085.54,981090.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12.0,2023-01-20 15:09:59.999,,,0.0,0.0,,,5.891,0.0046225,11656.34,400287.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13.0,2023-01-20 15:10:59.999,,,0.0,0.0,,,5.892,0.004618,4805.14,385717.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14.0,2023-01-20 15:11:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.885,0.004612,8058.39,2136981.4,1.0,10000.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0
15.0,2023-01-20 15:12:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.882,0.004614,6534.72,327261.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
16.0,2023-01-20 15:13:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.8925,0.0046149999999999,15481.26,1840369.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
17.0,2023-01-20 15:14:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.894,0.0046149999999999,10850.52,621733.8,1.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
18.0,2023-01-20 15:15:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.885,0.0046125,4559.17,547403.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
19.0,2023-01-20 15:16:59.999,1.0,short,-84.96176720475786,75455.24801466001,5.885,0.004612,5.874,0.004606,17548.67,408146.2,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
