close_time,ATOMUSDT_mid
2023-01-01 00:00:59.999,9.3555
2023-01-01 00:01:59.999,9.3545
2023-01-01 00:02:59.999,9.356
2023-01-01 00:03:59.999,9.3525
2023-01-01 00:04:59.999,9.356
2023-01-01 00:05:59.999,9.3645
2023-01-01 00:06:59.999,9.3705
2023-01-01 00:07:59.999,9.3755
2023-01-01 00:08:59.999,9.3765
2023-01-01 00:09:59.999,9.376000000000001
2023-01-01 00:10:59.999,9.3835
2023-01-01 00:11:59.999,9.3985
2023-01-01 00:12:59.999,9.3885
2023-01-01 00:13:59.999,9.384
2023-01-01 00:14:59.999,9.386
2023-01-01 00:15:59.999,9.398
2023-01-01 00:16:59.999,9.418
2023-01-01 00:17:59.999,9.41
2023-01-01 00:18:59.999,9.392
2023-01-01 00:19:59.999,9.3845
2023-01-01 00:20:59.999,9.387
2023-01-01 00:21:59.999,9.386
2023-01-01 00:22:59.999,9.381
2023-01-01 00:23:59.999,9.377
2023-01-01 00:24:59.999,9.3775
2023-01-01 00:25:59.999,9.384
2023-01-01 00:26:59.999,9.391
2023-01-01 00:27:59.999,9.3995
2023-01-01 00:28:59.999,9.402999999999999
2023-01-01 00:29:59.999,9.4095
2023-01-01 00:30:59.999,9.4155
2023-01-01 00:31:59.999,9.417
2023-01-01 00:32:59.999,9.416
2023-01-01 00:33:59.999,9.415
2023-01-01 00:34:59.999,9.4095
2023-01-01 00:35:59.999,9.404
2023-01-01 00:36:59.999,9.401
2023-01-01 00:37:59.999,9.397
2023-01-01 00:38:59.999,9.402000000000001
2023-01-01 00:39:59.999,9.3985
2023-01-01 00:40:59.999,9.3965
2023-01-01 00:41:59.999,9.3905
2023-01-01 00:42:59.999,9.3915
2023-01-01 00:43:59.999,9.39
2023-01-01 00:44:59.999,9.3895
2023-01-01 00:45:59.999,9.389
2023-01-01 00:46:59.999,9.3915
2023-01-01 00:47:59.999,9.3885
2023-01-01 00:48:59.999,9.3875
2023-01-01 00:49:59.999,9.386
2023-01-01 00:50:59.999,9.387
2023-01-01 00:51:59.999,9.389
2023-01-01 00:52:59.999,9.3895
2023-01-01 00:53:59.999,9.389
2023-01-01 00:54:59.999,9.3915
2023-01-01 00:55:59.999,9.391
2023-01-01 00:56:59.999,9.3915
2023-01-01 00:57:59.999,9.395
2023-01-01 00:58:59.999,9.3925
2023-01-01 00:59:59.999,9.3925
2023-01-01 01:00:59.999,9.3905
2023-01-01 01:01:59.999,9.388
2023-01-01 01:02:59.999,9.388
2023-01-01 01:03:59.999,9.3885
2023-01-01 01:04:59.999,9.378
2023-01-01 01:05:59.999,9.3705
2023-01-01 01:06:59.999,9.373000000000001
2023-01-01 01:07:59.999,9.3705
2023-01-01 01:08:59.999,9.369
2023-01-01 01:09:59.999,9.365
2023-01-01 01:10:59.999,9.364
2023-01-01 01:11:59.999,9.359
2023-01-01 01:12:59.999,9.3525
2023-01-01 01:13:59.999,9.347
2023-01-01 01:14:59.999,9.3515
2023-01-01 01:15:59.999,9.3555
2023-01-01 01:16:59.999,9.3555
2023-01-01 01:17:59.999,9.361
2023-01-01 01:18:59.999,9.370999999999999
2023-01-01 01:19:59.999,9.369499999999999
2023-01-01 01:20:59.999,9.3645
2023-01-01 01:21:59.999,9.3565
2023-01-01 01:22:59.999,9.3525
2023-01-01 01:23:59.999,9.3455
2023-01-01 01:24:59.999,9.344999999999999
2023-01-01 01:25:59.999,9.343
2023-01-01 01:26:59.999,9.339500000000001
2023-01-01 01:27:59.999,9.337499999999999
2023-01-01 01:28:59.999,9.331
2023-01-01 01:29:59.999,9.322
2023-01-01 01:30:59.999,9.3185
2023-01-01 01:31:59.999,9.318999999999999
2023-01-01 01:32:59.999,9.3155
2023-01-01 01:33:59.999,9.312000000000001
2023-01-01 01:34:59.999,9.309999999999999
2023-01-01 01:35:59.999,9.3195
2023-01-01 01:36:59.999,9.3275
2023-01-01 01:37:59.999,9.3245
2023-01-01 01:38:59.999,9.3255
2023-01-01 01:39:59.999,9.322
2023-01-01 01:40:59.999,9.3215
2023-01-01 01:41:59.999,9.322
2023-01-01 01:42:59.999,9.321000000000002
2023-01-01 01:43:59.999,9.315
2023-01-01 01:44:59.999,9.311499999999999
2023-01-01 01:45:59.999,9.317
2023-01-01 01:46:59.999,9.315999999999999
2023-01-01 01:47:59.999,9.308499999999999
2023-01-01 01:48:59.999,9.305
2023-01-01 01:49:59.999,9.311
2023-01-01 01:50:59.999,9.317
2023-01-01 01:51:59.999,9.310500000000001
2023-01-01 01:52:59.999,9.303999999999998
2023-01-01 01:53:59.999,9.3065
2023-01-01 01:54:59.999,9.307500000000001
2023-01-01 01:55:59.999,9.306999999999999
2023-01-01 01:56:59.999,9.305
2023-01-01 01:57:59.999,9.3115
2023-01-01 01:58:59.999,9.314499999999999
2023-01-01 01:59:59.999,9.3115
2023-01-01 02:00:59.999,9.3065
2023-01-01 02:01:59.999,9.309000000000001
2023-01-01 02:02:59.999,9.314
2023-01-01 02:03:59.999,9.314499999999999
2023-01-01 02:04:59.999,9.315000000000001
2023-01-01 02:05:59.999,9.317
2023-01-01 02:06:59.999,9.326
2023-01-01 02:07:59.999,9.337
2023-01-01 02:08:59.999,9.3405
2023-01-01 02:09:59.999,9.341000000000001
2023-01-01 02:10:59.999,9.3345
2023-01-01 02:11:59.999,9.3335
