index,close_time,historical_spread,historical_LINKUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_mid,historical_ATOMUSDT_vol,historical_rolling_mean_2520_minutes,historical_rolling_sd_2520_minutes,historical_rolling_z_score_2520_minutes,historical_rolling_z_score_2520_minutes_lag_1,rolling_sd_2520_minutes,algo_trading_rolling_sd_2520_minutes_percentile_75th,signal_2520_minutes,threshold_2520_minutes,delayed_signal_2520_minutes
0,2023-01-20 16:38:59.999,-0.005624756433832,6.579000000000001,791.08,12.381,1353.07,-0.0008651087742909534,0.007435135394536425,-0.6401561514318337,0.0,,0.00018114283248000444,0,2.0,0.0
1,2023-01-20 16:39:59.999,-0.0053685817834121,6.580500000000001,4653.86,12.3805,818.87,-0.0008705277312581496,0.007433439122266985,-0.6051107674615855,-0.6401561514318337,0.00018114283248000444,0.00018114283248000444,0,2.0,0.0
2,2023-01-20 16:40:59.999,-0.0054778931072787,6.5885,3628.73,12.404,5902.81,-0.0008760986645905314,0.007431629151700059,-0.6192174486580055,-0.6051107674615855,0.00012854522792226855,0.00016799343134057048,0,2.0,0.0
3,2023-01-20 16:41:59.999,-0.0046393995691718,6.584,2350.8,12.377,727.23,-0.0008810403470471772,0.007429989403493473,-0.505836417526719,-0.6192174486580055,0.00043825881997912314,0.0003097008262295638,0,2.5,0.0
4,2023-01-20 16:42:59.999,-0.0059324147345454,6.580500000000001,21112.71,12.3905,516.25,-0.0008863173336320326,0.007428852761961534,-0.6792566177581614,-0.505836417526719,0.0004793687971590742,0.0004485363142741109,0,2.5,0.0
5,2023-01-20 16:43:59.999,-0.0054839569052809,6.5905000000000005,2906.66,12.4095,1303.96,-0.0008916044182557455,0.007427381732467158,-0.6183003179910223,-0.6792566177581614,0.0004298625008081748,0.00043825881997912314,0,2.0,0.0
6,2023-01-20 16:44:59.999,-0.0055683631740355,6.5905000000000005,4814.22,12.411,700.07,-0.0008970405136531438,0.007425789359156393,-0.6290674882424947,-0.6183003179910223,0.00039633325506257226,0.00043615974018638607,0,2.0,0.0
7,2023-01-20 16:45:59.999,-0.0054215916388165,6.5885,10017.9,12.403,1742.89,-0.0009025975236240382,0.007423933200864305,-0.6087061929202642,-0.6290674882424947,0.00036700559245175253,0.00043406066039364895,0,2.0,0.0
8,2023-01-20 16:46:59.999,-0.0055463837666946,6.581,2970.07,12.385,2000.95,-0.0009079171582272594,0.007422455800699288,-0.6249234394942896,-0.6087061929202642,0.0003451419633397688,0.0004319615806009119,0,2.0,0.0
9,2023-01-20 16:47:59.999,-0.005141399234761,6.5935,12586.1,12.4115,1318.07,-0.0009131491825122565,0.007420791024174313,-0.5697842775082333,-0.6249234394942896,0.00033985620833498656,0.0004298625008081748,0,2.0,0.0
10,2023-01-20 16:48:59.999,-0.0056397119749538,6.598,50374.77,12.4325,3354.18,-0.0009194216012392282,0.007418102795643002,-0.6363204317533883,-0.5697842775082333,0.0003291224521517728,0.0004214801893717742,0,2.0,0.0
11,2023-01-20 16:49:59.999,-0.0046721395368551,6.605499999999999,1488.93,12.4355,1726.34,-0.0009250194314594247,0.0074156096131579256,-0.5053016947854095,-0.6363204317533883,0.0003842656963148665,0.00041309787793537356,0,2.0,0.0
12,2023-01-20 16:50:59.999,-0.0051645994853415,6.5965,3673.04,12.42,3004.85,-0.0009308699657265297,0.007413135832407573,-0.5711118230299548,-0.5053016947854095,0.000372565802640488,0.0004047155664989729,0,2.0,0.0
13,2023-01-20 16:51:59.999,-0.0056900686987872,6.596,2426.39,12.428,2568.59,-0.0009369506414091134,0.007410752198588934,-0.6413813240554878,-0.5711118230299548,0.00036865354756948057,0.00039633325506257226,0,2.0,0.0
